"","Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","date","numeric_date"
"959"," 288                             "," Individual protesters in Oakland refused to attend police barbecue until their                                           message is heard. Black Lives Matter, Wichita, Kan Activists, earlier this                                          week, engaged in a protest that ended in a reunion cookout with the police.                                          The Wichita Police Chief Go Oakland Protesters Response To Police BBQ                                          Invitation I Black Matters Black Matters                 "," https://www.facebook.com/Black-Matters-1579673598947501/                      ",": United States                                          Interests: BlackNews.com or HuffPost Black Voices                                           Behaviors: African American (US)                                          Excluded Connections: Exclude people who like Black Matters                                          Age: 18 - 54                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 3,203                           "," 345                           "," 500.00 RUB                 "," 07/22/16 02:39:14 AM PDT                      Ad End Date 07/23/16 02:39:12 AM PDT ",2016-07-22,17004
"960"," 476                             "," We insist over and over again: Black Lives Matter is a radical hate group and                                          its violent actions must be stopped. And we're glad to know that our police                                          officials are on our side on that issue.                 "," https://www.facebook.com/Being-Patriotic-1601685693432389/                      ",": United States: New York (+40 km) New York                                          Interests: Donald Trump, Donald Trump for President or Donald Trump Jr.                                          Age: 18 - 65+                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 3,001                           "," 204                           "," 500.00 RUB                 "," 07/14/16 01:35:03 AM PDT                      Ad End Date 07/15/16 01:35:01 AM PDT ",2016-07-14,16996
"961"," 700                             "," After what happened in Dallas ordinary Texans did not remain indifferent.                                          Several men armed with AR-15 went to the Splendora Police Department and                                          stood guarding the building. Y'all should do the same thing — we must protect                                          our cops! We won't let some gangsters attack the people who keep our                                          security.                                           If this is a war against police - we're joining this war on the cop's side!                 "," https://www.facebook.com/Heart-of-Texas-761114847343674/                      ",": United States: Texas                                          Interests: Independence or Patriotism                                          Excluded Connections: Exclude people who like Heart of Texas                                          Age: 18 - 65+                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 5,401                           "," 1,501                           "," 500.00 RUB                 "," 07/14/16 12:54:34 AM PDT                      Ad End Date 07/15/16 12:54:33 AM PDT ",2016-07-14,16996
"962"," 832                            "," BLACK DOLLARS MATTER                                          While Black activists are trying to strict American government's attention by                                          organizing protests, Black bank owners urge Black Americans to transfer                                          money into their banks.                                          A few days ago there were started the #MoveYourMany campaign which the                                          main goal is to demonstrate the value of Black lives within America. At the                                          request of rapper Killer Mike, over 8,000 people have transferred their money                                          into Black-owned banks in the last 5 days.                                          50 years ago Martin Luther King Jr. requested Blacks to replace their funds                                          from non-Black banks to Black-owned institutions which would help to                                          empower and advance Black community.                                          The best way to fight the system is to break its capitalist back which is why it                                          is important for Blacks to invest in ourselves!               "," https://www.facebook.com/WilliamsKalvin-788980617892144/                     ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18- 51                                          Language: English (UK) or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic (US - All), Hispanic (US - Spanish                                          dominant), Hispanic (US - English dominant), Hispanic (US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: National Museum of American History, Stop                                          Racism!!, Malcolm X Memorial Foundation, Maya Angelou, Mumia Abu-                                          Jamal, The Raw Story or mother jones, Multicultural Affinity: African American                                          (US)                  "," 6,508                          "," 1,240                         "," 500.00 RUB               "," 07/21/16 09:17:51 AM PDT                     Ad End Date 07/22/16 09:17:50 AM PDT ",2016-07-21,17003
"963"," 1314                             "," About $190 billion dollars are spent each year on illegal aliens for welfare &                                          social services by the American taxpayers. Are leftists still sure that illegal                                          immigration improves our economy?                 "," https://www.facebook.com/Stop-AI-896610653786585/                      ",": United States                                          Interests: Conservatism, The Tea Party or Republican Party (United States)                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," 0.00                 "," 07/06/16 06:56:35 AM PDT                      Ad End Date 05/07/16 03:28:15 AM PDT ",2016-07-06,16988
"964"," 1695                             "," I didn't believe the media. SO I BECAME ONE. Follow!                 "," https://www.facebook.com/B lack Iuive-1725227467722991/                      ",": United States: Louisiana: Minnesota                                          Age: 13 - 60                                          Placements: Instagram Feed                                          People Who Match: Interests: Black Power.. Fight the Power, Black Panther                                           Party.. Slavery by Another Name, Malcolm X or Cop Block                   "," 36.601                           "," 920                           "," 4.942.38 RUB                 "," 07/11/16 02:41:37 AM PDT ",2016-07-11,16993
"965"," 1700                             "," O000ps seems like someone screwed up!                                          Salute our brave and smart cops who mistake man's member for a deadly                                          weapon. Follow US and stay WOKE!                 "," https://www.facebook.com/AmericanCops-1667165370195771/                      ",": United States: Chicago(+40 km) Illinois; Baton Rouge(+40 km)                                           Louisiana; Baltimore (+40 km) Maryland; Cleveland (+40 km) Ohio                                          Age: 13 - 60                                          Placements: Instagram Feed                                          People Who Match: Interests: Black Power, Fight the Power, Black Panther                                          Party, Slavery by Another Name, Malcolm X or Cop Block                   "," 36,585                           "," 765                           "," 5,590.68 RUB                 "," 07/12/16 07:44:02 AM PDT ",2016-07-12,16994
"966"," 1716                             "," How did he even get in the train                 "," https://www.facebook.com/Memopolis-450474615151098/                      "," - Living In: United States                                           Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics                                          Age: 14 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 12.304                           "," 3,114                           "," 500.00 RUB                 "," 07/21/16 06:22:01 AM PDT                      Ad End Date 07/22/16 06:21:59 AM PDT ",2016-07-21,17003
"967"," 1729                             "," Who else liked it just because the girl was fine as hell                 "," https://www.facebook.com/Memopolis-450474615151098/                      "," - Living In: United States                                           Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics                                          Age: 14 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," 0.00                 "," 07/12/16 05:01:24 AM PDT                      Ad End Date 06/23/16 07:31:52 AM PDT ",2016-07-12,16994
"968"," 1760                             "," I was blasting the pokemon theme song from my car, driving to the park to                                          look for pokemon.                 "," https://www.facebook.com/Memopolis-450474615151098/                      "," - Living In: United States                                          Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics                                          Age: 14 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 8,037                           "," 1,502                           "," 399.92 RUB                 "," 07/12/16 05:07:27 AM PDT                      Ad End Date 07/13/16 05:07:25 AM PDT ",2016-07-12,16994
"969"," 1842                             "," Fuck, if I found a wild Charizard I'd stop too                 "," https://www.facebook.com/Memopolis-450474615151098/                      "," - Living In: United States                                           Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics                                          Age: 14 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," None                 "," 07/13/16 01:13:05 AM PDT                      Ad End Date 07/14/16 01:13:04 AM PDT ",2016-07-13,16995
"970"," 1843                             "," If she didn't get the reference, she's not worth your time.                 "," https://www.facebook.com/Memopolis-450474615151098/                      "," - Living In: United States                                           Interests: Funny Photo's, Funny Pictures, LOL or Funny Pics                                          Age: 14 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 9,882                           "," 2,065                           "," 554.17 RUB                 "," 07/12/16 05:02:54 AM PDT                      Ad End Date 07/13/16 05:02:53 AM PDT ",2016-07-12,16994
"971"," 1929                             "," 9+ police officers have already become the innocent victims of homegrown                                          terrorism. it's not a coincidence, it's a war. That's why we've started                                           Istay4police flashmob! Join our flashmob and follow stay4police to support                                          American law enforcement!                 "," https://www.facebook.com/Libelibe-1484239251885741/                      "," - Living In: United States                                          Age: 18 - 65+                                           Language: English (US)                                          Placements Instagram Feed                                          People Who Match: Interests Police; Law Enforcement Today, The Thin Blue                                           Line. Respect the Thin Blue line.. Police Wives Unite. Police officer; Safety;                                           National Police Wives Association, Heroes Behind The Badge or Law                                           Enforcement Life                   "," 11.078                           "," 96                           "," 1.681.94 RUB                 "," 07/20/16 06:33:39 AM PDT ",2016-07-20,17002
"972"," 2423                             "," Exactly. And, I also mind that you use some of your vast wealth to elect                                           politicians who will pass laws to allow you to avoid paying your fair share of                                          taxes.                 "," https://www.facebook.com/Born-Liberal-522628564598423/                      ",": United States                                          Interests: Liberalism or Libertarianism                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," 0.00                 "," 07/14/16 01:00:03 AM PDT                      Ad End Date 06/08/16 06:04:57 AM PDT ",2016-07-14,16996
"973"," 2443                            "," Melanin is gold. It's a gift of God. We have to appreciate this in all shades.                                          The black girls with freckles are also beautiful.               "," https://www.facebook.com/Black-Edification-1772583676310336/                     ",": United States: Alabama; Arizona; California; Florida; Georgia;                                          Mississippi; New Mexico; New York; Oklahoma; Texas; Washington                                          Interests: Freckle, Baltimore, Color, African-American culture, Visual                                          perception or Black (Color)                                          Age: 13 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                  "," 0                          "," 0                         "," 0.00               "," 07/17/16 12:37:25 AM PDT                     Ad End Date 06/27/16 01 :08:40 PM PDT ",2016-07-17,16999
"974","Ad ID 1298                 Ad Landing Page https://www.facebook.com/EricDraitserl/posts/950925828350122                      Ad Targeting Location: United States                                          Interests: Conservatism, The Tea Party or Republican Party (United States)                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   Ad Impressions 3,749                           Ad Clicks 91                           Ad Spend 2,000.00 RUB                 Ad Creation Date 07/06/16 06:56:45 AM PDT                      Ad End Date 07/08/16 06:56:44 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                    P(1)0001292","Ad ID 1298                 Ad Landing Page https://www.facebook.com/EricDraitserl/posts/950925828350122                      Ad Targeting Location: United States                                          Interests: Conservatism, The Tea Party or Republican Party (United States)                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   Ad Impressions 3,749                           Ad Clicks 91                           Ad Spend 2,000.00 RUB                 Ad Creation Date 07/06/16 06:56:45 AM PDT                      Ad End Date 07/08/16 06:56:44 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                    P(1)0001292"," https://www.facebook.com/EricDraitserl/posts/950925828350122                      ",": United States                                          Interests: Conservatism, The Tea Party or Republican Party (United States)                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 3,749                           "," 91                           "," 2,000.00 RUB                 "," 07/06/16 06:56:45 AM PDT                      Ad End Date 07/08/16 06:56:44 AM PDT ",2016-07-06,16988
"975"," 2440                            "," Many of us are poor and struggling due to systemic racism!! So fight for                                          something!                                          IT IS OUR DUTY!! WE HAVE NOTHING TO LOSE BUT OUR CHAINS!               "," https://www.facebook.com/Black-Edification-1772583676310336/                     ",": United States: Alabama; Arizona; California; Florida; Georgia;                                          Mississippi; New Mexico; New York; Oklahoma; Texas; Washington                                          Interests: Freckle, Baltimore, Color, African-American culture, Visual                                          perception or Black (Color)                                          Age: 13 - 40                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                  "," 2,318                          "," 146                         "," 73.75 RUB               "," 07/19/16 02:16:10 PM PDT                     Ad End Date 07/26/16 02:16:09 PM PDT ",2016-07-19,17001
"976"," 781                             "," White media used to tell what is important for whites and cover facts                                          important for Blacks.                 "," https://www.facebook.comnViIliamsKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 51                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: National Museum of American History, Maya                                          Angelou, Mumia Abu-Jamal, The Raw Story or mother jones, Behaviors:                                          African American (US)                   "," 8,390                           "," 1,591                           "," 500.00 RUB                 "," 07/21/16 09:15:28 AM PDT                      Ad End Date 07/22/16 09:15:26 AM PDT ",2016-07-21,17003
"977"," 834                             "," A lone sniper shot 14 people and killed 5 police officers, in Dallas late                                          Thursday night. It was a peaceful protest against the police shootings of Alton                                          Sterling in Baton Rouge, Louisiana, and Philando Castile in Falcon Heights,                                           Minnesota. So he turned this peaceful protest into a scene of chaos and                                          carnage. The wounded include seven police officers and two civilians. The                                          sniper, Micah X. Johnson was a black U.S. military veteran of the Afghan war.                                          As he was captured, he claimed he wanted to ""kill white people"".                                          There's no evidence that he was a Black Lives Matters activist. There's no                                           proof that he was into the movement anyhow. It happened almost a week ago                                          and the police can't show anything to prove there was a link between Micah                                          X. Johnson and Black Lives matter. But the Main stream media are telling us                                          time and again that «black lives matter terrorists are killing the police officers».                                          The main stream Media are telling us, that the protest against police terror is                                          a violent anti-government riot!                                          Subscribe to our channel:                                          https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg                                          Follow my Facebook: https://www.facebook.comnViIliamsandKalvin                                          Follow me on Twitter: https://twitter.comnVilliams8kalvin                 "," https://www.facebook.comnViI Iiam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 51                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: National Museum of American History, Maya                                          Angelou, Mumia Abu-Jamal, The Raw Story or mother jones, Behaviors:                                          African American (US)                   "," 7,773                           "," 481                           "," 700.00 RUB                 "," 07/21/16 09:16:45 AM PDT                      Ad End Date 07/22/16 09:16:43 AM PDT ",2016-07-21,17003
"978"," 57                       "," Stand up, South Carolina! Let's stop the propaganda of hate and white                                    supremacy! Not My Heritage            "," https://www.facebook.com/events/I 730167210590258/                 ",": United States: South Carolina                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 7,457                     "," 304                    "," 4,670.00 RUB            "," 07/21/16 05:32:28 AM PDT                 Ad End Date 07/23/16 05:32:25 AM PDT ",2016-07-21,17003
"979"," 102                       "," Almost 2 years have passed since the death of Eric Garner,. a father of 6, who                                    was violentl Rally In Memory Of Eric Garner            "," https://www.facebook.com/events/1085290071563825/                 ",": United States: New York (+40 km) New York                                    Interests: BlackNews.com                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 37.821                     "," 2,775                    "," 12.485.17 RUB            "," 07/06/16 03:03:43 AM PDT                 Ad End Date 07/17/16 03:03:41 AM PDT ",2016-07-06,16988
"980"," 103                       "," Almost 2 years have passed since the death of Eric Garner,. a father of 6, who                                    was violentl Rally In Memory Of Eric Garner            "," https://www.facebook.com/events/1085290071563825/                 ",": United States: New York (+40 km) New York                                    Interests: BlackNews.com, Black History Month or African-American history                                    Age: 18 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 0                     "," 0                    "," None            "," 07/28/16 06:40:03 AM PDT                 Ad End Date 07/17/16 03:03 41 AM PDT ",2016-07-28,17010
"981","Ad ID 283                 Ad Targeting Location - Living In: United States                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: People who like Black Matters, Friends of connections:                                    Friends of people who are connected to Black Matters              Ad Impressions 0                     Ad Clicks 0                    Ad Spend None            Ad Creation Date 07/14/16 02:05:21 AM PDT                 Ad End Date 07/15/16 02:05:19 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                                                                        P(1)0002057","Ad ID 283                 Ad Targeting Location - Living In: United States                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: People who like Black Matters, Friends of connections:                                    Friends of people who are connected to Black Matters              Ad Impressions 0                     Ad Clicks 0                    Ad Spend None            Ad Creation Date 07/14/16 02:05:21 AM PDT                 Ad End Date 07/15/16 02:05:19 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                                                                        P(1)0002057","Ad ID 283                 Ad Targeting Location - Living In: United States                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: People who like Black Matters, Friends of connections:                                    Friends of people who are connected to Black Matters              Ad Impressions 0                     Ad Clicks 0                    Ad Spend None            Ad Creation Date 07/14/16 02:05:21 AM PDT                 Ad End Date 07/15/16 02:05:19 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                                                                        P(1)0002057"," - Living In: United States                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: People who like Black Matters, Friends of connections:                                    Friends of people who are connected to Black Matters              "," 0                     "," 0                    "," None            "," 07/14/16 02:05:21 AM PDT                 Ad End Date 07/15/16 02:05:19 AM PDT ",2016-07-14,16996
"982"," 284                       "," When a Black man is shot dead, the world will know about every little secret                                    he had. It is obvious that every time a Black man is killed, all his secretes and                                    mistakes will be all over the internet. The media goes in search of all his                                    criminal r 2 Blacks, Sterling and Castile, Are Now Subject To Intense Scrutiny                                      Black Matters Black Matters            "," https://www.facebook.com/Black-Matters-1579673598947501/                 "," - Living In: United States                                    Age: 18 - 65+                                    Placements News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: People who like Black Matters. Friends of connections:                                    Friends of people who are connected to Black Matters              "," 0                     "," 0                    "," None            "," 07/17/16 11:01:34 AM PDT                 Ad End Date 07/15/16 02:05:19 AM PDT ",2016-07-17,16999
"983"," 285                       "," White Privilege is everywhere even in auto Insurance. A new report published                                    by 4AutolnsuranceQuote.com shows that Black Americans pay hundreds of                                    dollars more for car insurance than whites. According to the resear Study:                                    Black Car Owners Pay More For Auto Insurance Than Whites I Black Matters                                    Black Matters            "," https://www.facebook.com/Black-Matters-1579673598947501/                 ",": United States                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 4,909                     "," 608                    "," 500.00 RUB            "," 07/22/16 02:41:17 AM PDT                 Ad End Date 07/23/16 02:41:15 AM PDT ",2016-07-22,17004
"984"," 286                       "," New video released shows police officer assaulting Black female teacher                                    during a routine traffic stop in Austin. Black schoolteacher, Breaion King, 26                                    was stopped by the white police officer Bryan Richter on June 15, 2015, for                                    driving 50 mph in a 35 mph zone. However, the Video: Officer Hurls Black                                    Woman During Traffic Stop I Black Matters Black Matters            "," https://www.facebook.com/Black-Matters-1579673598947501/                 ",": United States                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 6,747                     "," 694                    "," 500.00 RUB            "," 07/22/16 02:40:08 AM PDT                 Ad End Date 07/23/16 02:40:07 AM PDT ",2016-07-22,17004
"985"," 289                       "," ""The City of Somerville stands against all violence and all injustice, which is                                    why a Black Lives Matter banner hangs at City Hall"". Mayor Joseph                                    Curtatone of Somerville, Massachusetts, boldly said he won't remove Black                                    Lives Matter banner from the City Hall after the local police union asked                                    Massachusetts Mayor Refuses To Remove BLM Banner From City Hall                                    Black Matters Black Matters            "," https://www.facebook.com/Black-Matters-1579673598947501/                 ",": United States                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 4,975                     "," 618                    "," 472.11 RUB            "," 07/25/16 07:19:27 AM PDT                 Ad End Date 07/26/16 07:19:25 AM PDT ",2016-07-25,17007
"986"," 290                       "," Now after eight police officers were killed in Dallas and Baton Rouge,                                    Louisiana, the Ku Klux Klan targets Black activist groups. The racist and                                    violent KKK group was distributing fliers in Georgia County, calling on                                    residents to join them and terrorize Black people in response to the BLM, KKK                                    Recruits Supremacists After Recent Killings Of Police Officers I Black Matters                                    Black Matters            "," https://www.facebook.com/Black-Matters-1579673598947501/                 ",": United States                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 6,768                     "," 1,098                    "," 446.85 RUB            "," 07/25/16 07:19:08 AM PDT                 Ad End Date 07/26/16 07:19:06 AM PDT ",2016-07-25,17007
"987"," 298                       "," August 9, 2016, marks a two-year anniversary of the brutal murder of Michael                                    Brown. an 18- Rally In Memory Of Mike Brown            "," https://www.facebook.com/events/309180056094025/                 ",": United States: New York (+40 km) New York                                    Interests: BlackNews.com, Black History Month or African-American history                                    Age: 18 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 29.689                     "," 1,969                    "," 6.105.55 RUB            "," 07/28/16 06:40:40 AM PDT                 Ad End Date 08/14/16 06:40 38 AM PDT ",2016-07-28,17010
"988"," 302                       "," Stand up, South Carolina! Let's stop the propaganda of hate and white                                    supremacy! Not My Heritage            "," https://www.facebook.com/events/I 730167210590258/                 ",": United States: South Carolina                                    Interests: BlackNews.com or HuffPost Black Voices                                    Behaviors: African American (US)                                    Excluded Connections: Exclude people who like Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 0                     "," 0                    "," None            "," 07/21/16 01:07:46 AM PDT                 Ad End Date 07/23/16 10:00:00 AM PDT ",2016-07-21,17003
"989"," 305                       "," White supremacists are planning to raise the racist flag again! The state                                    officials ordere Not My Heritage            "," https://www.facebook.com/events/I 730167210590258/                 "," - Living In: United States: South Carolina                                    Age: 18 - 65+                                    Language: English (UK)or English (US)                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices                                    People Who Match: Interests: HuffPost Black Voices, Behaviors: African                                    American(US)or Asian American(US)              "," 30,994                     "," 1,367                    "," 6,495.70 RUB            "," 07/05/16 03:40:13 AM PDT                 Ad End Date 07/24/16 06:11:56 AM PDT ",2016-07-05,16987
"990"," 445                       "," We must ensure the Dallas attack on police will never happen again. Most                                    problems we face happen because we've stopped calling things by their                                    names and the assassination of cops in Dallas was no exception. We're                                    hiding behind political correctness and denying the truth because we don't                                    want to `offend' someone.                                    And the truth is: a group of people calling their supporters to commit violence                                    is not a peaceful group. A group of people coming to their opponent's rallies                                    and attacking peaceful people is a group of extremists. A group of people                                    standing behind the attack on police is a group of terrorists. The Black Lives                                    Matter are terrorists, and the sooner we admit it officially — the sooner this war                                    on cops will end and people running a conservative rally won't be afraid to be                                    attacked by a hateful gang.                                    Sign the petition to formally recognize Black Lives Matter as a terrorist                                    organization:                                    https:Hpetitions.whitehouse.gov/petition/formally-recognize-black-lives-matter-                                    terrorist-organization            ","Ad ID 445                       Ad Text We must ensure the Dallas attack on police will never happen again. Most                                    problems we face happen because we've stopped calling things by their                                    names and the assassination of cops in Dallas was no exception. We're                                    hiding behind political correctness and denying the truth because we don't                                    want to `offend' someone.                                    And the truth is: a group of people calling their supporters to commit violence                                    is not a peaceful group. A group of people coming to their opponent's rallies                                    and attacking peaceful people is a group of extremists. A group of people                                    standing behind the attack on police is a group of terrorists. The Black Lives                                    Matter are terrorists, and the sooner we admit it officially — the sooner this war                                    on cops will end and people running a conservative rally won't be afraid to be                                    attacked by a hateful gang.                                    Sign the petition to formally recognize Black Lives Matter as a terrorist                                    organization:                                    https:Hpetitions.whitehouse.gov/petition/formally-recognize-black-lives-matter-                                    terrorist-organization            Ad Landing Page https://www.facebook.com/Being-Patriotic-1 6016856934323891                 Ad Targeting Custom Audience: Lookalike(US, 1%)- People who like Being Patriotic                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              Ad Impressions 5,701                     Ad Clicks 967                    Ad Spend 1,000.00 RUB            Ad Creation Date 07/11/16 07:45:24 AM PDT                 Ad End Date 07/12/16 07:45:22 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                                                                               P(1)0002283","Ad ID 445                       Ad Text We must ensure the Dallas attack on police will never happen again. Most                                    problems we face happen because we've stopped calling things by their                                    names and the assassination of cops in Dallas was no exception. We're                                    hiding behind political correctness and denying the truth because we don't                                    want to `offend' someone.                                    And the truth is: a group of people calling their supporters to commit violence                                    is not a peaceful group. A group of people coming to their opponent's rallies                                    and attacking peaceful people is a group of extremists. A group of people                                    standing behind the attack on police is a group of terrorists. The Black Lives                                    Matter are terrorists, and the sooner we admit it officially — the sooner this war                                    on cops will end and people running a conservative rally won't be afraid to be                                    attacked by a hateful gang.                                    Sign the petition to formally recognize Black Lives Matter as a terrorist                                    organization:                                    https:Hpetitions.whitehouse.gov/petition/formally-recognize-black-lives-matter-                                    terrorist-organization            Ad Landing Page https://www.facebook.com/Being-Patriotic-1 6016856934323891                 Ad Targeting Custom Audience: Lookalike(US, 1%)- People who like Being Patriotic                                    Age: 18 - 65+                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              Ad Impressions 5,701                     Ad Clicks 967                    Ad Spend 1,000.00 RUB            Ad Creation Date 07/11/16 07:45:24 AM PDT                 Ad End Date 07/12/16 07:45:22 AM PDT Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence                                                                                                               P(1)0002283"," 5,701                     "," 967                    "," 1,000.00 RUB            "," 07/11/16 07:45:24 AM PDT                 Ad End Date 07/12/16 07:45:22 AM PDT ",2016-07-11,16993
